name,ingredients,diet,prep_time,cook_time,flavour,dish_type,state,region
macha besara,"fish, mustard, chili, garlic, turmeric, oil",non vegetarian,35,85,spicy,main course,odisha,east
mutton curry,"mutton, onion, tomato, chili, garlic, ginger",non vegetarian,40,90,spicy,main course,odisha,east
prawn curry,"prawn, mustard, chili, garlic, tomato, onion",non vegetarian,35,80,spicy,main course,odisha,east
crab masala,"crab, onion, tomato, chili, coconut, masala",non vegetarian,40,90,spicy,main course,odisha,east
fish fry,"fish, chili powder, turmeric, lemon juice, oil",non vegetarian,30,70,spicy,starter,odisha,east
mutton biryani,"mutton, rice, onion, tomato, curd, masala",non vegetarian,45,95,spicy,main course,odisha,east
chicken biryani,"chicken, rice, onion, tomato, curd, masala",non vegetarian,40,90,spicy,main course,odisha,east
egg curry,"egg, onion, tomato, chili, garlic, oil",non vegetarian,30,70,spicy,main course,odisha,east
crab fry,"crab, chili, turmeric, curry leaves, oil",non vegetarian,35,75,spicy,starter,odisha,east
chicken roast,"chicken, chili, ginger, garlic, onion, masala",non vegetarian,40,85,spicy,main course,odisha,east
laal maas,"mutton, red chili, garlic, yogurt, oil",non vegetarian,45,95,spicy,main course,rajasthan,west
safed maas,"mutton, yogurt, cream, almond paste, spices",non vegetarian,40,90,spicy,main course,rajasthan,west
tunday kebab,"minced meat, ginger, garlic, chili, spices",non vegetarian,40,85,spicy,starter,uttar pradesh,north
nihari,"mutton, onion, ginger, garlic, slow spices",non vegetarian,45,100,spicy,main course,uttar pradesh,north
chicken korma,"chicken, yogurt, onion, cashew, masala",non vegetarian,40,90,spicy,main course,uttar pradesh,north
mutton korma,"mutton, yogurt, onion, tomato, spices",non vegetarian,45,95,spicy,main course,uttar pradesh,north
biryani,"chicken, rice, onion, tomato, curd, masala",non vegetarian,40,90,spicy,main course,uttar pradesh,north
mutton curry,"mutton, onion, tomato, garlic, ginger, masala",non vegetarian,45,95,spicy,main course,uttar pradesh,north
egg curry,"egg, onion, tomato, chili, garlic, oil",non vegetarian,30,70,spicy,main course,uttar pradesh,north
fish curry,"fish, coconut, tamarind, chili, mustard seeds",non vegetarian,35,80,spicy,main course,uttar pradesh,north
chicken roast,"chicken, chili, ginger, garlic, masala",non vegetarian,40,85,spicy,starter,uttar pradesh,north
seekh kebab,"minced mutton, onion, chili, garlic, oil",non vegetarian,35,80,spicy,starter,uttar pradesh,north
kosha mangsho,"mutton, onion, tomato, garlic, mustard oil, spices",non vegetarian,45,95,spicy,main course,west bengal,east
ilish macher jhol,"hilsa fish, mustard, chili, turmeric, oil",non vegetarian,35,80,spicy,main course,west bengal,east
chingri malai curry,"prawn, coconut milk, onion, ginger, garlic",non vegetarian,40,90,spicy,main course,west bengal,east
dimer dalna,"egg, potato, onion, tomato, spices",non vegetarian,30,75,spicy,main course,west bengal,east
muri ghonto,"fish head, rice, spices, mustard oil",non vegetarian,35,85,spicy,main course,west bengal,east
prawn cutlet,"prawn, bread crumbs, chili, ginger, garlic",non vegetarian,30,70,spicy,starter,west bengal,east
fish fry,"bhetki fish, chili, bread crumbs, lemon juice, oil",non vegetarian,30,65,spicy,starter,west bengal,east
mutton biryani,"mutton, rice, potato, onion, ghee, spices",non vegetarian,45,95,spicy,main course,west bengal,east
chicken curry,"chicken, onion, tomato, chili, mustard oil",non vegetarian,40,90,spicy,main course,west bengal,east
egg roll,"egg, paratha, onion, chili, sauce, oil",non vegetarian,25,60,spicy,starter,west bengal,east
